index,Tweet,HS,stopwords,hastags,numerics,word_count,char_count,punctuation
0,cowok berusaha melacak perhatian gue  lantas remehkan perhatian  gue kasih khusus   basic  cowok bego,1,0,0,0,19,101,0
1,telat  tau  edan sarap gue bergaul  cigax jifla calis    licew,0,0,0,0,16,62,0
2,41 kadang  berpikir    percaya  tuhan    jatuh berkali kali kadang   tuhan  meninggalkan    orang tuaku berencana berpisah  kakakku  memilih  kristen   anak ter,0,0,0,1,39,160,0
3,ku tau matamu sipit,0,0,0,0,4,19,0
4,kaum cebong kafir   dongoknya    dungu  haha,1,0,0,0,12,44,0
5,ya bani taplak  kawan kawan,1,0,0,0,6,27,0
6,deklarasi pilihan kepala daerah 2018 aman  anti hoaks warga dukuh sari jabon,0,0,0,1,13,76,0
7,gue   selesai re watch aldnoah zero  kampret   2 karakter utama cowoknya kena friendzone bro xd  ,0,0,0,1,22,97,0
8,admin belanja   po  terbaik nak makan ais kepal milo ais kepal horlicks  cendol toping kau kau doket   gerai rozak me uaku taipan 2  kembar baby amp romantika bank islam senawang,0,0,0,1,37,178,0
9,enak    ngewe,0,0,0,0,5,13,0
10,gue  jari     gue ukur nyali  bacot        x8f,1,0,0,0,20,46,0
11,banci kaleng malu    pe anyaan   2   nyungsep koe  ,1,0,0,1,17,51,0
12,belajar ekonomi mestinya jago memprivatisasi hati orang aduh ironi,0,0,0,0,9,66,0
13,aktor huru hara 98 prabowo si  lengserkan pemerintahan jokowi nyata,1,0,0,1,11,67,0
14,bu guru enakan  jablay  guru sekolah dasar sih kayaknya menikmati  pecun  guru,1,0,0,0,16,78,0
15,lawan bicara gue  intelek kayak   otak    kencing onta gue mengakui hadis nabi   sahih kafir kayak   menolak   ahlun nar,1,0,0,0,30,120,0
16,pikiran ampas banget ya,0,0,0,0,4,23,0
17,ari  beki  rapi monyet,0,0,0,0,6,22,0
18,cowok   gantle   gantle  namanya banci,1,0,0,0,10,38,0
19,alga mnr bom,0,0,0,0,3,12,0
20,anjing ya  gue jarang mengambek takut wkwk gue  budak cinta,0,0,0,0,12,59,0
21,noob  peluang disakiti nya  gede sih,0,0,0,0,8,36,0
22,joko widodo dinilai  presiden terlemah  sejarah indonesia       jokowi  memiliki modal dukungan politik      ketidakmampuan pemerintahannya menghadapi situasi ekonomi,0,0,0,0,31,166,0
23,pelajar  kecamatan bilah hilir deklarasi anti hoaks amp pilihan kepala daerah 2018 damai,0,0,0,1,14,88,0
24,bandara udara internasional  ajati dibangun  gubernur ahmad heryawan   anggaran pendapatan  belanja negara pemerintah pusat insya allah  beroperasi,0,0,0,0,23,147,0
25,gubernur  presidennya rakyatnya ya,0,0,0,0,5,34,0
26,sih kerjaannya delay mulu setan,1,0,0,0,5,31,0
27,menurutku pintu sorga   pintu sorga  asli  pintu hatimu modus banget,0,0,0,0,14,68,0
28,partai komunis indonesia  muncul  jelang pemilihan kepala daerah  pemilihan presiden  digoreng  gosong,1,0,0,0,17,102,0
29,nenek nenek  heran  cebong  bohong,1,0,0,0,8,34,0
30,islam nusantara produk jil dipasarkan  gencar  antek xc2 xb2 jil   jil anti arab  pro asing   almarhum kh hasyim muzadi,1,0,0,0,26,119,0
31,habis sahur  jam 10 si bayi  nete  kali   lemas         xa2,0,0,0,1,23,59,0
32,kak emak   suka   sipit wkwk,0,0,0,0,9,28,0
33,kelakuan homo jaman now ngentot   live  blued gay video gvid lokal hangat  ,0,0,0,0,17,75,0
34,kak gue  orang jawa maaf ya gue orang palembang  kakak  deh  belajar aksara jawa  kelak  belajar budaya palembang,0,0,0,0,24,113,0
35,pegawai guardian training  kayak mentang mentang gue kayak gembel  kaos  flat shoes  dijutekin bangsat  malas belinya  kabur gue  matahari,1,0,0,0,26,138,0
36,x9dpara bajingan   melukai lady  menerima ganjaran seratus kali lipat     x9d sanji selamat ulang  pelaut jkt48,0,0,0,0,23,111,0
37,ajakan menolak berita hoaks  sukseskan pilihan kepala daerah  wilayah kota kediri,0,0,0,0,13,81,0
38,presiden ri jokowi   kerja nya tulus ikhlas  rakyat  jokowi,0,0,0,0,13,59,0
39,edan  tujuannya fabiano,0,0,0,0,4,23,0
40,mendalami al alquran ya bang   mulutnya kayak orang kafir bejat hina farhat abbas law,1,0,0,0,16,85,0
